Marca,Tipo,Modello,Memoria,mm,pollici,Colore,Codice_PIM
Xiaomi,Smartphone,Redmi A7 Pro,64 GB,n/n,n/n,Black,576413
Xiaomi,Smartphone,Redmi A7 Pro,64 GB,n/n,n/n,BLUE,576415
Xiaomi,Smartphone,Redmi A7 Pro,128 GB,n/n,n/n,Black,576519
Xiaomi,Smartphone,Redmi A7 Pro,128 GB,n/n,n/n,BLUE,576520
Xiaomi,Smartphone,Redmi A7 Pro,128 GB,n/n,n/n,GREEN,576522
Xiaomi,Smartphone,Redmi 15C,128 GB,n/n,n/n,Black,467135
Xiaomi,Smartphone,Redmi 15C,128 GB,n/n,n/n,ORANGE,467137
Xiaomi,Smartphone,Redmi 15C,128 GB,n/n,n/n,BLUE,467138
Xiaomi,Smartphone,Redmi 15C,128 GB,n/n,n/n,Black,467151
Xiaomi,Smartphone,Redmi 15C,128 GB,n/n,n/n,ORANGE,496008
Xiaomi,Smartphone,Redmi 15C,128 GB,n/n,n/n,BLUE,496014
Xiaomi,Smartphone,Redmi 15C,256 GB,n/n,n/n,GREEN,495999
Xiaomi,Smartphone,Redmi 17,128 GB,n/n,n/n,Black,595175
Xiaomi,Smartphone,Redmi 17,128 GB,n/n,n/n,GREEN,595186
Xiaomi,Smartphone,Redmi 17,128 GB,n/n,n/n,BLUE,595184
Xiaomi,Smartphone,Redmi 17,128 GB,n/n,n/n,BLUE,595190
Xiaomi,Smartphone,Redmi 17,128 GB,n/n,n/n,Black,595189
Xiaomi,Smartphone,Redmi 17,128 GB,n/n,n/n,GREEN,595192
Xiaomi,Smartphone,Redmi Note 15,128 GB,n/n,n/n,Black,563288
Xiaomi,Smartphone,Redmi Note 15,128 GB,n/n,n/n,Glacier Blue,563385
Xiaomi,Smartphone,Redmi Note 15,256 GB,n/n,n/n,Black,557247
Xiaomi,Smartphone,Redmi Note 15,256 GB,n/n,n/n,Forest Green,557254
Xiaomi,Smartphone,Redmi Note 15 5G,256 GB,n/n,n/n,Black,557278
Xiaomi,Smartphone,Redmi Note 15 5G,256 GB,n/n,n/n,PURPLE,557285
Xiaomi,Smartphone,Redmi Note 15 5G,512 GB,n/n,n/n,Black,563382
Xiaomi,Smartphone,Redmi Note 15 5G,512 GB,n/n,n/n,PURPLE,564810
Xiaomi,Smartphone,Redmi Note 15 5G,512 GB,n/n,n/n,Glacier Blue,564805
Xiaomi,Smartphone,Redmi Note 15 Pro,256 GB,n/n,n/n,Black,557260
Xiaomi,Smartphone,Redmi Note 15 Pro,256 GB,n/n,n/n,Glacier Blue,557266
Xiaomi,Smartphone,Redmi Note 15 Pro,256 GB,n/n,n/n,TITANIO,557262
Xiaomi,Smartphone,Redmi Note 15 Pro 5G,256 GB,n/n,n/n,BLACK,557269
Xiaomi,Smartphone,Redmi Note 15 Pro 5G,256 GB,n/n,n/n,BLACK,563254
Xiaomi,Smartphone,Redmi Note 15 Pro+ 5G,256 GB,n/n,n/n,BLACK,557274
Xiaomi,Smartphone,Redmi Note 15 Pro 5G,512 GB,n/n,n/n,BLACK,563254
Xiaomi,Smartphone,17,512 GB,n/n,n/n,Ice Blue,565472
Xiaomi,Smartphone,17,512 GB,n/n,n/n,Black,565448
Xiaomi,Smartphone,17T,256 GB,n/n,n/n,Black,582785
Xiaomi,Smartphone,17T,256 GB,n/n,n/n,Blu,582786
Xiaomi,Smartphone,17T,256 GB,n/n,n/n,Viola,582787
Xiaomi,Smartphone,17T,256 GB,n/n,n/n,Black,582797
Xiaomi,Smartphone,17T,256 GB,n/n,n/n,Blu,582788
Xiaomi,Smartphone,17T,256 GB,n/n,n/n,Viola,582799
Xiaomi,Smartphone,17T Pro,512 GB,n/n,n/n,Black,582767
Xiaomi,Smartphone,17T Pro,512 GB,n/n,n/n,Blu,582772
Xiaomi,Smartphone,17T Pro,512 GB,n/n,n/n,Violet,582757
Xiaomi,Smartphone,17 Ultra,512 GB,n/n,n/n,Black,565475
Xiaomi,Smartphone,17 Ultra,512 GB,n/n,n/n,Starlit Green,565476
